,Organization,review_status,proportion_local_div,3A,3B,3C,3D,3E,3F,3G,3H,3I,3J,4A,4B,4C,4D,4E,4F,4G,4H,4I,5A,5B,5C,5D,5E,5F,5G,5H,5I,6A,6B,6C,6D,6E,6F,6G,6H,6I,7A,7B,7C,7D,7E,7F,7G,7H,7I,8A,8B,8C,8D,8E,8F,8G,8H,8I,8J,9A,9B,9C,9D,9E,9F,9G,10,benchmark_group,number_of_employees,number_of_years,workforce,9H
0,Company 1A,In progress,Minimal to no disparities (ie - the differential between our workforce and the population across different groups is 5% or less per group),8.0,100.0,13.0,13.0,13.0,26.0,26.0,13.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.0,100.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,C-Suite,Board/Advisory Bodies,Senior Management,Management,Mentorship Programs,Internal Promotions,,NaN,Finance,Fewer than 100 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees,
1,Company 1B,No,null,216.0,38.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,32.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,NaN,Finance,100-249 Employees,15 or more years,At least 80% of employees are Salaried,NaN
2,Company 1C,No,null,30.0,17.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,NaN,,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Hourly,NaN
3,Company 1D,No,null,35.0,45.0,12.0,6.0,0.0,6.0,0.0,30.0,50.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,0.0,75.0,25.0,0.0,0.0,25.0,0.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,Board/Advisory Bodies,,,,,,NaN,Technology,Fewer than 100 Employees,5-14 years,At least 80% of employees are Salaried,
4,Company 1E,No,null,83.0,70.0,9.0,18.0,4.0,NaN,7.0,NaN,NaN,NaN,76.0,6.0,9.0,6.0,NaN,3.0,NaN,NaN,NaN,75.0,NaN,NaN,NaN,NaN,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,,,,,,,,,,,,,,,Internal Promotions,,NaN,NonProfit,Fewer than 100 Employees,5-14 years,At least 80% of employees are Salaried,
5,Company 1F,No,null,7.0,43.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Management,,,,NaN,Finance,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried,
6,Company 1G,No,null,269.0,40.0,3.0,4.0,6.0,1.0,2.0,NaN,NaN,NaN,41.0,3.0,2.0,6.0,1.0,0.0,NaN,NaN,NaN,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,null,null,null,null,null,null,null,null,,,,,,,No,N/A - No targets set,,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried,
7,Company 1H,No,null,55.0,90.0,10.0,10.0,5.0,NaN,10.0,0.0,5.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,No,N/A - No targets set,Technology,250-999 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees,
8,Company 1I,No,null,57.0,73.0,5.0,3.0,5.0,0.0,2.0,NaN,4.0,0.0,52.0,0.0,0.0,5.0,0.0,0.0,NaN,0.0,0.0,67.0,8.0,0.0,8.0,0.0,0.0,NaN,NaN,0.0,33.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,,,,,,,,,,,,Senior Management,,,,,Nearing goals (66-99% targets met),NonProfit,Fewer than 100 Employees,5-14 years,At least 80% of employees are Salaried,
9,Company 1J,In progress,Minimal to no disparities (ie - the differential between our workforce and the population across different groups is 5% or less per group),1105.0,66.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,No,N/A - No targets set,Finance,"1000-4,999 Employees",15 or more years,We have a mixed workforce of hourly and salaried employees,
10,Company 1K,Yes,Modest disparities (ie - the differential between our workforce and the population across different groups is 10% or less per group),42.0,95.0,35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,100.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,,,,,,,,,,,,,,Mentorship Programs,,,N/A - No targets set,NonProfit,Fewer than 100 Employees,15 or more years,At least 80% of employees are Salaried,
