Organization,number_of_employees,number_of_years,industry,workforce,"Thanks! You're done with the registration process.  Before we jump into the assessment, can you tell us a few other things about your workplace (if relevant).",Q9_A,Q9_B,Q9_C,Q9_D,Q9_E,Q9_F,Q9_G,Q9_H,Q9_I,Q10_A,Q10_B,Q10_C,Q10_D,Q10_E,Q11_A,Q11_B,Q11_C,Q11_D,Q11_E,Q11_F,Q12_A,Q12_B,Q12_C,Q12_D,Q12_E,Q12_F,Q13_A,Q13_B,Q13_C,Q14,Q14_Other,Q15_A,Q15_B,Q15_C,Q15_D,Q15_E,Q15_F,Q15_G,benchmark_group,Q11_G,Q12_G
Company 1A,Fewer than 100 Employees,5-14 years,523920,We have a mixed workforce of hourly and salaried employees,"We have one hourly employee currently working in Argentina. 
We did include them in our calculation. 
It was not difficult to calculate the number of full-time employees as we are a small team. 
We counted how many employees are salaried and how many are hourly. 
No.",,Women and people who identify as women,Working mothers,"Women of color, including all races and ethnicities",Women of all types of abilities,Persons of all non-binary gender identities,Women of all sexual orientations,Women of all religions,Women of all socio-economic levels,Conducted a demographic analysis of the current workforce,,,,,,,Engagement with all staff on targets and their importance to the organization,,,,,,,,None,,,"Yes, internal statement made to all employees","Yes, official public/external statement made about organization's commitment to gender equity",No EDI report is published,,Womens Empowerment Principles (UN),,,,,,Gender Equity Now,Finance,,
Company 1B,100-249 Employees,15 or more years,Finance (private equity),At least 80% of employees are Salaried,"We have employees in London, Dublin & Singapore. 

We did include them in our calculation. It was not challenging to calculate the full time employees. 

No methodology. I work closely with the information.",,Women and people who identify as women,Working mothers,"Women of color, including all races and ethnicities",Women of all types of abilities,Persons of all non-binary gender identities,Women of all sexual orientations,Women of all religions,Women of all socio-economic levels,Conducted a demographic analysis of the current workforce,,Established goals regarding gender equity for the whole organization,,,Dedicated team responsible for establishing and tracking progress toward gender equity targets,,,,,,All Hiring Managers,Human Resources Dept,,,,,No,,,No EDI report is published,,,,,,,None,,Finance,,
Company 1C,Fewer than 100 Employees,Fewer than 5 years,236210,At least 80% of employees are Hourly,"All of our employees are in  US.  We are a municipal government organization.  Our staff are hourly in the sense that they are eligible for overtime, with the exception of 4 managers out of about 30 total staff.  Approximately 5 out of 30 are limited term employees which include our student interns and seasonal assistance.",,,,"Women of color, including all races and ethnicities",,,,,,,Conducted a baseline culture analysis using employee feedback to identify gaps,,,,,,Engagement with all staff on targets and their importance to the organization,Training of all employees who have a direct impact on meeting targets,,,,,,,None,,No,,,Other,"Prepare report on work on EDI, no gender performance goals specifically called out.",,,,,,None,,,,
Company 1D,Fewer than 100 Employees,5-14 years,"2,426,347",At least 80% of employees are Salaried,not relevant,"N/A, No EDI policy in place",,,,,,,,,Conducted a demographic analysis of the current workforce,Conducted a baseline culture analysis using employee feedback to identify gaps,,,,,,,,None,,,,,,None,,No,,,No EDI report is published,,,,,,,None,,Technology,,
Company 1E,Fewer than 100 Employees,5-14 years,61,At least 80% of employees are Salaried,No employees outside of the US. Not challenging to calculate the number of FT.,"N/A, No EDI policy in place",,,,,,,,,,,Established goals regarding gender equity for the whole organization,,,Dedicated team responsible for establishing and tracking progress toward gender equity targets,,,,,,,Human Resources Dept,,,,,No,,,No EDI report is published,,,,,,,None,,NonProfit,,
Company 1F,Fewer than 100 Employees,Fewer than 5 years,523920,At least 80% of employees are Salaried,Not relevant,"N/A, No EDI policy in place",,,,,,,,,,,,,None,Dedicated team responsible for establishing and tracking progress toward gender equity targets,,,,,,,,,,None,,No,,,Publish an annual EDI report that includes performance data on gender equity,,,,,,,None,,Finance,,
Company 1G,Fewer than 100 Employees,Fewer than 5 years,611699,At least 80% of employees are Salaried,,"N/A, No EDI policy in place",,,,,,,,,,Conducted a baseline culture analysis using employee feedback to identify gaps,,,,,,,,,Engagement with SOME staff on targets and their importance to the organization (at the leadership level- the teachers are mostly female),,,,,None,,,"Yes, internal statement made to all employees",,No EDI report is published,,,,,,,None,,,,
Company 1H,250-999 Employees,5-14 years,518210,We have a mixed workforce of hourly and salaried employees,US employees only,"N/A, No EDI policy in place",,,,,,,,,Conducted a demographic analysis of the current workforce,Conducted a baseline culture analysis using employee feedback to identify gaps,Established goals regarding gender equity for the whole organization,,,,,Engagement with all staff on targets and their importance to the organization,,,,,,,,None,,No,,,Other,Internal report of demographic metrics,,,,,,None,,Technology,,
Company 1I,Fewer than 100 Employees,5-14 years,813319 - Other Social Advocacy Organizations,At least 80% of employees are Salaried,"Liberia, Malawi, Ethiopia, Uganda. We did not include this headcount in our total, as we were instructed to focus on US-based staff only for this assessment. We keep employee records in our HRIS, NetSuite, and can calculate headcount with those reports - by country/business unit.","N/A, No EDI policy in place",,,,,,,,,Conducted a demographic analysis of the current workforce,Conducted a baseline culture analysis using employee feedback to identify gaps,Established goals regarding gender equity for the whole organization,Developed a timebound roadmap to meet established goals,,,Specific timeline on when targets should be met,Engagement with all staff on targets and their importance to the organization,,,Hired an external DEI consultant to help evaluate our targets and create a roadmap to meet those targets,All Hiring Managers,,All Senior Management,C-Suite,,,,"Yes, internal statement made to all employees",,No EDI report is published,,,,,,,None,,NonProfit,,
Company 1J,"1000-4,999 Employees",15 or more years,Financial Services,We have a mixed workforce of hourly and salaried employees,,,Women and people who identify as women,,"Women of color, including all races and ethnicities",Women of all types of abilities,Persons of all non-binary gender identities,Women of all sexual orientations,Women of all religions,,Conducted a demographic analysis of the current workforce,Conducted a baseline culture analysis using employee feedback to identify gaps,,,,Dedicated team responsible for establishing and tracking progress toward gender equity targets,,,,,,,,,,None,,,,"Yes, official public/external statement made about organization's commitment to gender equity",No EDI report is published,,,,,,,None,,Finance,,
