,Q32,Q33,Q34,Q35,Q36_A,Q36_B,Q36_C,Q36_D,Q36_E,Q36_F,Q36_G,Q36_H,Q36_I,Q36_J,Q37_A,Q37_B,Q37_C,Q37_D,Q37_E,Q38_A,Q38_B,Q38_C,Q38_D,Q38_E,Q38_F,Q38_Other,Q39,Q40,Q41,Q42,Q43,Q44,Q45,Q46_A,Q46_B,Q46_C,Q46_D,Q46_Other,Q47,Q48_A,Q48_B,Q48_C,Q48_D,Q48_Other,Q49_A,Q49_B,Q49_C,Q49_D,Q49_Other,Q50_A,Q50_B,Q50_C,Q50_D,Q50_E,Q50_Other,Q51,Q52,Q53,Q54,Q55,Q56_A,Q56_B,Q56_C,Q56_D,Q56_E,Q56_F,Q56_G,Q56_H,Q56_I,Q56_J,Q56_K,Q57_A,Q57_B,Q57_C,Q57_D,Q57_E,Q57_F,Q58,Q59,Q60,Q61,Q62,Q63,Q64,Q65,Organization,benchmark_group,number_of_employees,number_of_years,workforce,Q36_K,Q36_L,Q37_F,Q37_G,Q38_H,Q38_I,Q46_F,Q48_F,Q56_L,Q57_G
0,Annually,1,<85% employees are satisfied or highly satisfied,1.0,,,,,,,,,,,,Shared the results internally with leadership,,,,,,,,,,Plan is in the process of being developed,,N/A - No targets were established,1,No,1,0,1,,,,None,,No Response,,"Guidance on travel logistics (car, air, lodging) are applied consistently with all employees regardless of seniority or role",Prohibited activities on work travel,,,microaggressions,,,,,,,Engaging third-party organizations to structure and lead trainings,Providing on-going opportunities for employees to continue learning and engaging on issues related to bias,,,No,No,No Response,1.0,No,,,,,,,,,,,,,,,,,,No Response,0.0,0.0,0,20.0,no,"Yes - Yes, we have ongoing or have in the past had partnerships with Portland Women in Tech, Lesbians who Code, AnitaB.org and Grace Hopper Conference, ChickTech and the ACT-W conference",Did not want to share retention metrics.,Company 1X,Technology,"1000-4,999 Employees",5-14 years,At least 80% of employees are Salaried,,No Response,,,,,,,No Response,No Response
1,None,0,N/A (no satisfaction surveys conducted),N/A (no satisfaction surveys conducted),,,,,,,,,,,,,,,,,,,,,,,,N/A - No targets were established,1,N/A (no satisfaction surveys conducted),0,0,0,,,,None,,0.0,,,,None,,,,,None,,,,,,No,,No,No,No,0.0,N/A (no satisfaction surveys conducted),,,,,,,,,,,Unknown/not sure,,,,,,No action taken yet,N/A - No action taken yet,0.0,0.0,0,No Response,no,no,,Company 1W,NonProfit,Fewer than 100 Employees,15 or more years,We have a mixed workforce of hourly and salaried employees,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,,,,
2,None,0,N/A (no satisfaction surveys conducted),N/A (no satisfaction surveys conducted),,,,,,,,,,,,,,,,,,,,,,,,N/A - No targets were established,0,N/A (no satisfaction surveys conducted),0,0,1,A structured listening format to ensure that all voices are heard,"Norms to set expectations on conduct and participation and set the ""tone"" (ie - check-in questions to kick off a meeting)",Training for all managers on best practices for meeting inclusiveness,,,0.0,,,,None,,microaggressions,microinequities,microaffirmations,,,Conducting in-person trainings and discussions for the whole organization,Conducting in-person trainings and discussion for board/advisory groups,Engaging third-party organizations to structure and lead trainings,Providing on-going opportunities for employees to continue learning and engaging on issues related to bias,,,In progress,In progress,In progress,0.0,N/A (no satisfaction surveys conducted),,,,,,,,,,No disparities in retention,,N/A (No difference in turnover rates),,,,,,N/A (no action plan in place),0.0,0.0,0,No Response,"Yes - we support advocacy for womens, LGBTQ+ and trans rights in the workplace and have partnered with other non-profits to do so.","Yes - we support advocacy for womens, LGBTQ+ and trans rights in the workplace and have partnered with other non-profits to do so.",,Company 1V,Finance,Fewer than 100 Employees,5-14 years,At least 80% of employees are Salaried,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,,,,
3,None,1,85-95% employees are satisfied or highly satisfied,0.0,,,,,,,,,,,,,,,,,,,,,,,,N/A - No targets were established,0,No,0,0,1,,,,None,,0.0,,,,None,,,,,None,,,,,,No,,No,No,No,0.0,No,,,,,,,,,,No disparities in retention,,N/A (No difference in turnover rates),,,,,,N/A (no action plan in place),0.0,0.0,0,No Response,no,no,,Company 1U,Finance,Fewer than 100 Employees,15 or more years,At least 80% of employees are Salaried,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,,,,
4,Semi-annually,1,85-95% employees are satisfied or highly satisfied,1.0,,,,,,,Working moms (of school-aged children),,,,,,,,In progress,Conducted focus groups with marginalized populations  to identify key issues and brainstorm potential solutions,,,,,,,"We are in the process of designing the focus groups, so have not yet identified next steps",N/A - No targets were established,0,No,0,0,0,,,Training for all managers on best practices for meeting inclusiveness,,,0.0,,,,None,,,,,,In development now,,,Engaging third-party organizations to structure and lead trainings,,,,In progress,No,No,0.0,No,,,,,,,,,,,Unknown/not sure,N/A (No difference in turnover rates),,,,,,N/A (no action plan in place),0.0,0.0,0,No Response,no,no,,Company 1T,Technology,100-249 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees,,,,,,,,,,
5,None,0,<85% employees are satisfied or highly satisfied,1.0,,,,,,,,,,No disparities in satisfaction across different employee groups,N/A (no disparity),,,,,,,,,,,N/A - No disparity,,N/A - No targets were established,0,No,0,0,0,,,Training for all managers on best practices for meeting inclusiveness,,,0.0,"Guidance on socializing (work dinners, after-hours gatherings) to ensure no inadvertent gender bias - ie.   participants must be included and sensitivity around gender, race/ethnicity, religion, socioeconomic status","Guidance on travel logistics (car, air, lodging) are applied consistently with all employees regardless of seniority or role",Prohibited activities on work travel,,,,,,None,,Conducting in-person trainings and discussions for the whole organization,Conducting in-person trainings and discussion for board/advisory groups,,Providing on-going opportunities for employees to continue learning and engaging on issues related to bias,,,In progress,In progress,In progress,0.0,No,,,,,,,,,,No disparities in retention,,N/A (No difference in turnover rates),,,,,,N/A (no action plan in place),0.0,0.0,0,0.0,no,no,,Company 1S,Technology,"1000-4,999 Employees",Fewer than 5 years,We have a mixed workforce of hourly and salaried employees,,,,,,,,,,
6,None,0,N/A (no satisfaction surveys conducted),N/A (no satisfaction surveys conducted),,,,,,,,,,,,,,,,,,,,,,,,N/A - No targets were established,0,N/A (no satisfaction surveys conducted),0,0,1,A structured listening format to ensure that all voices are heard,"Norms to set expectations on conduct and participation and set the ""tone"" (ie - check-in questions to kick off a meeting)",Training for all managers on best practices for meeting inclusiveness,,,0.0,"Guidance on socializing (work dinners, after-hours gatherings) to ensure no inadvertent gender bias - ie.   participants must be included and sensitivity around gender, race/ethnicity, religion, socioeconomic status","Guidance on travel logistics (car, air, lodging) are applied consistently with all employees regardless of seniority or role",Prohibited activities on work travel,,,,,,None,,,,,Providing on-going opportunities for employees to continue learning and engaging on issues related to bias,,,Yes,Yes,In progress,0.0,N/A (no satisfaction surveys conducted),,,,,,,,,,,Unknown/not sure,N/A (No difference in turnover rates),,,,,,N/A (no action plan in place),0.0,0.0,0,0.0,no,no,,Company 1R,Technology,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,,,,
7,Semi-annually,1,<85% employees are satisfied or highly satisfied,1.0,,,,,,,,,,,,,,None,,,,,,,,,,N/A - No targets were established,1,No,0,0,1,A structured listening format to ensure that all voices are heard,"Norms to set expectations on conduct and participation and set the ""tone"" (ie - check-in questions to kick off a meeting)",Training for all managers on best practices for meeting inclusiveness,,,1.0,,,,None,,microaggressions,,,,,Conducting in-person trainings and discussions for the whole organization,,Engaging third-party organizations to structure and lead trainings,Providing on-going opportunities for employees to continue learning and engaging on issues related to bias,,,No,No,No,1.0,No,,,,,,,,,,,Unknown/not sure,,,,,,No action taken yet,N/A - No action taken yet,0.0,0.0,0,No Response,No,No,,Company 1Q,Finance,250-999 Employees,5-14 years,At least 80% of employees are Salaried,,No Response,,No Response,,No Response,,,,
8,None,0,85-95% employees are satisfied or highly satisfied,0.0,,,,,,,,,,,,,,,,,,,,,,,,N/A - No targets were established,0,N/A (no satisfaction surveys conducted),0,0,1,,,,None,,0.0,,,,None,,,,,None,,,,,,No,,Yes,Yes,No,0.0,N/A (no satisfaction surveys conducted),,,,,,,,,,,Unknown/not sure,,,,,,No action taken yet,N/A - No action taken yet,0.0,0.0,0,No Response,No,No,,Company 1P,,100-249 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,,,,
9,In process of implementing,1,N/A (no satisfaction surveys conducted),N/A (no satisfaction surveys conducted),,,,,,,,,,,,,,,,,,,,,,,,N/A - No targets were established,0,N/A (no satisfaction surveys conducted),0,0,0,,,,None,,0.0,,,,None,,,,,None,,,,,,No,,Yes,In progress,In progress,0.0,No,,,,,,,,,,No disparities in retention,,N/A (No difference in turnover rates),,,,,,N/A (no action plan in place),0.0,0.0,0,No Response,no,no,no,Company 1O,Technology,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,"N/A (no satisfaction surveys conducted) and/or results not disaggregated  by gender, race and ethnicity, sexual orientation, religion or ability",,,,,
