"Recruitment, Promotion & Pipeline:  Has your organization performed an organization-wide review to identify teams that have no or low gender diversity (ie - ""the lonely only"" - one woman, one female of color, one LGBTQ-identifying person, one woman who is differently-abled)?  ","Recruitment, Promotion & Pipeline:  If a review has been conducted, what have been the results?
","Recruitment, Promotion & Pipeline: Have you designed and implemented a recruitment process to eliminate gender equity bias?  
",Statement about gender equity goals in recruitment on all job postings,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",Blind resume review and blind auditions (as applicable),Training for HR and all hiring managers on how to identify and reduce gender equity biases throughout the recruitment process,Oversight and support by trained HR or other designated-internal teams to ensure unbiased recruitment process,Oversight by a third-party entity to identify and reduce bias from recruitment process,Other,"Recruitment, Promotion & Pipeline:  Have gender diverse numeric targets been established - at all steps in the recruitment process -  to ensure a diverse slate of candidates?
","Recruitment, Promotion & Pipeline:  If gender diverse numeric targets have been in place for at least 12 months, have those targets been met?","Recruitment, Promotion & Pipeline:  Does your organization on-board new employees using cohorts designed to avoid ""one-ness"" (only woman, only person of color)?","Recruitment, Promotion & Pipeline:  Has your organization implemented a performance review program designed to eliminate gender bias?","Recruitment, Promotion & Pipeline:  Have all managers received training, that includes an anti-bias component, on how to implement unbiased gender equity performance reviews? ","Recruitment, Promotion & Pipeline:  Do you track success rate of managers of entry-level women to see that women and men are all getting promoted at equal rates from entry level?","Recruitment, Promotion & Pipeline:  Are results tracked to determine whether gender bias has been reduced or eliminated from performance reviews?","Recruitment, Promotion & Pipeline:  Tell us more about how your organization has tracked performance review results.",% of Workers promoted,% Promoted Workers who identify as Women,Women who identify as Black or African American,Women who identify as Latina,Women who identify as Asian,Women who identify as Native American/Alaskan/Pacific Islander,Women who identify as Mixed Race,Women who identify as White/Caucasian,Women who identify as Disabled,Women who identify as LGBTQ,Persons who identify as gender non-binary,None,Give us feedback - how challenging is it to provide internal promotion details for your workforce to the degree asked above?,"Recruitment, Promotion & Pipeline:  If your organization had targets for internal promotion of candidates reflecting gender equity goals, did you meet your goals?","Recruitment, Promotion & Pipeline:  Does your organization have a program to retain and promote gender diverse entry and mid-level workers through training, development and other professional development opportunities?","Recruitment, Promotion & Pipeline:  If you responded yes or in development, tell us more about the  program to retain and promote gender diverse entry and mid-level workers through training, development and other professional development opportunities.","Recruitment, Promotion & Pipeline:  What % of gender diverse workers participated in these types of programs during the last 12 months?","Recruitment, Promotion & Pipeline:  During the last 12 months, were participants in these programs promoted at the same or higher rates than all employees across the organization?{{field:70ab1a1c-026b-427f-9511-faed18c9e883}}","Recruitment, Promotion & Pipeline:  What % of training and development budget is allocated toward the gender diverse pipeline development programs covered in the questions above?
",At the secondary or tertiary education level,At the on-ramping/workforce re-entry level for mid-career women,No,Other,"Recruitment, Promotion & Pipeline:  During the last 12 months, what percentage of participants in these programs have been hired into a full-time role?","Recruitment, Promotion & Pipeline: Before we move to the next section, is there anything else you want to tell us about how your organization tracks, reports on or is working to improve its recruitment, promotion and pipeline development?",A publicly-stated philosophy and commitment to pay transparency,"Transparency of pay process, including salary bands/ranges that are shared with all employees",Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",None,Other,Compensation & Pay Equity: Do you have an organization-wide written policy that prohibits asking or otherwise collecting prior compensation data from job candidates?,Compensation and Pay Equity: Has your organization conducted a pay equity assessment (comparable compensation for same work) in the last 12 months? ,Gender identity,Race/Ethnicity,Economic status,Religion,Sexual orientation,Ability,None,Salary,Bonuses,Equity or other Ownership shares,"Company perks (company cars, professional membership fees, etc)",Reimbursement,Other,Compensation & Pay Equity: What were the overall results?,Entry Level,Management/ Supervisory Level,Executive Management,C-suite Level,None,Unsure,"Compensation & Pay Equity: If your board is compensated, have you evaluated pay equity at the board level?",Black or African American women,Latina  women,Asian women,"Other (Native American/Pacific Islander, Alaskan)",Mixed Race,White/Caucasian women,Working moms (of school-aged children),LGTBQ women,Gender non-binary,Unsure,None,No,With C-Suite,With Board/Governing Body,With Managers,With All Workers,Publicly,No,With C-Suite,With Board/Governing Body,With Managers,With All Workers,"Compensation & Pay Equity: Has your organization created a plan to address pay-equity issues with goals, timeline, and activities to ensure success?","Compensation & Pay Equity: If yes, have you achieved your goals?",% Total Workers who received compensation (excluding COLA) adjustment in  the last 12 months:,% Workers who identify as Women,Women who identify as Black or African American,Women who identify as Latina,Women who identify as Asian,Women who identify as Native American/Alaskan/Pacific Islander,Women who identify as Mixed Race,Women who identify as White/Caucasian,Women who identify as Disabled,Women who identify as LGBTQ,Persons who identify as gender non-binary,None,Give us feedback - how challenging is it to provide demographic details for your workforce to the degree asked above?,"Compensation and Pay Equity: If your organization has a stock-option program or employee ownership program, have you evaluated whether shares have been allocated equitably across genders? ","Compensation & Pay Equity: Is the lowest paid woman - part-time, full-time or on contract - paid a living wage?","Compensation & Pay Equity: Before we move to the next section, is there anything else you want to tell us about how your organization tracks, reports on or is working to improve its compensation and pay equity structures?",Organization,benchmark_group,number_of_employees,number_of_years,workforce
Yes,In progress of determining,Process has been designed and implemented,Statement about gender equity goals in recruitment on all job postings,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,,"Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",,Training for HR and all hiring managers on how to identify and reduce gender equity biases throughout the recruitment process,,,,In progress,,No,In progress of designing and implementing,In progress,No,N/A - No anti-bias performance review plan in place yet,,22,22,Women who identify as Black or African American,,Women who identify as Asian,,,Women who identify as White/Caucasian,,,,,,N/A - No targets were established,No,,,,,At the secondary or tertiary education level,,,,0,,,,Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,Yes,In development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,N/A - No targets were established,,,,,,,,,,,,,Unsure/ responses not provided for compensation adjustments.,No evaluation conducted,Yes,,Company 1X,Technology,"1000-4,999 Employees",5-14 years,At least 80% of employees are Salaried
In progress,,Process has been designed and implemented,Statement about gender equity goals in recruitment on all job postings,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",,,,,,In progress,,"Yes, with many but not all cohorts having a diverse population",In progress of designing and implementing,No,No,N/A - No anti-bias performance review plan in place yet,,0,0,,,,,,,,,,None,"Have not had any promotions in the past year, so prior questions could benefit from a N/A",N/A - No targets were established,In development,,,,,,,,,,,,,,,None,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Prior questions should just be N/A as everyone only received COLA adjustments- there were no promotions.,N/A (no plan),Yes,,Company 1W,NonProfit,Fewer than 100 Employees,15 or more years,We have a mixed workforce of hourly and salaried employees
No,,"Process has been designed, not yet implemented",,,,,,,,,,In progress,,"Yes, with many but not all cohorts having a diverse population",Yes,In progress,In progress,N/A - No anti-bias performance review plan in place yet,,0,0,,,,,,,,,,None,"Haven't done promotions yet, so those responses should be N/A",N/A - No targets were established,In development,Working with ESG intership programs to provide interships and opportunites to minority students,,0,,,,,working with ESG intership programs to provide interships and opportunites to minority students,0,The prior response should be N/A - hasn't started yet,A publicly-stated philosophy and commitment to pay transparency,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,None,Compensation adjustments happen in September so there is no data for prior questions.,No evaluation conducted,Yes,,Company 1V,Finance,Fewer than 100 Employees,5-14 years,At least 80% of employees are Salaried
Yes,In progress of determining,"Process has been designed, not yet implemented",Statement about gender equity goals in recruitment on all job postings,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",,Training for HR and all hiring managers on how to identify and reduce gender equity biases throughout the recruitment process,Oversight and support by trained HR or other designated-internal teams to ensure unbiased recruitment process,,,No,,No,Yes,No,No,,,9,5,,,,,,,,Women who identify as LGBTQ,,,,N/A - No targets were established,No,,,,,At the secondary or tertiary education level,,,,50,,,,Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,Yes,In development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,57,23,,,,,,,,,,,,,Yes,,Company 1U,Finance,Fewer than 100 Employees,15 or more years,At least 80% of employees are Salaried
No,,No process has been designed yet,,,,,,,,,,No,,No,In progress of designing and implementing,No,No,N/A - No anti-bias performance review plan in place yet,,7,83,Women who identify as Black or African American,Women who identify as Latina,,,,Women who identify as White/Caucasian,,,,,,N/A - No targets were established,No,,,,,,,No,,,,,,Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,No,Yes,Gender identity,Race/Ethnicity,,,,,,Salary,Bonuses,Equity or other Ownership shares,,,,,,,,,,,N/A (no board compensation),,,,,,,,,,,,,With C-Suite,,,,,No,,,,,"Yes, shared internally with employees",Goals met,30,,,,,,,,,,,,,No evaluation conducted,Yes,,Company 1T,Technology,100-249 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees
No,,No process has been designed yet,,,,,,,,,,No,,No,No,No,No,N/A - No anti-bias performance review plan in place yet,,6,75,,Women who identify as Latina,,,,,,,,,,N/A - No targets were established,No,,,,,,,No,,,,,,Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,54,69,,,Women who identify as Asian,,Women who identify as Mixed Race,,,,,,,N/A (no plan),Yes,,Company 1S,Technology,"1000-4,999 Employees",Fewer than 5 years,We have a mixed workforce of hourly and salaried employees
Yes,In progress of determining,No process has been designed yet,,,,,,,,,,No,,No,In progress of designing and implementing,In progress,In progress,N/A - No anti-bias performance review plan in place yet,,0,0,,,,,,,,,,None,,N/A - No targets were established,In development,,,,,At the secondary or tertiary education level,,,,40,,A publicly-stated philosophy and commitment to pay transparency,,Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,50,28,,,,,,,,,,None,,N/A (no plan),Yes,,Company 1R,Technology,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried
In progress,,Process has been designed and implemented,,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",,,,Oversight by a third-party entity to identify and reduce bias from recruitment process,,No,,No,No,No,No,N/A - No anti-bias performance review plan in place yet,,22,18,,,,,,,,,,None,,N/A - No targets were established,No,,,,,,,No,,,,A publicly-stated philosophy and commitment to pay transparency,,Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,Yes,Yes,Gender identity,,,,,,,Salary,,,,,,1:1+ equity for men:women,Entry Level,Management/ Supervisory Level,Executive Management,,,,N/A (no board compensation),Black or African American women,Latina  women,Asian women,,Mixed Race,White/Caucasian women,,,Gender non-binary,,,No,,,,,,No,,,,,No,,69,47,,,,,,,,,,None,,No evaluation conducted,Yes,,Company 1Q,Finance,250-999 Employees,5-14 years,At least 80% of employees are Salaried
In progress,,No process has been designed yet,,,,,,,,,,No,,No,No,No,No,N/A - No anti-bias performance review plan in place yet,,23,40,,,,,,,,,,None,,N/A - No targets were established,No,,,,,,,No,,,,,,,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,Yes,Yes,Gender identity,Race/Ethnicity,,,,,,Salary,Bonuses,,,,,1:0.8-0.99 equity for men:women,Entry Level,Management/ Supervisory Level,Executive Management,C-suite Level,,,N/A (no board compensation),Black or African American women,Latina  women,Asian women,"Other (Native American/Pacific Islander, Alaskan)",Mixed Race,White/Caucasian women,,,,,,,With C-Suite,,,,,,With C-Suite,,,,In Progress,N/A - No targets were established,84,46,,,,,,,,,,None,,No evaluation conducted,No,,Company 1P,,100-249 Employees,5-14 years,We have a mixed workforce of hourly and salaried employees
In progress,,Process has been designed and implemented,Statement about gender equity goals in recruitment on all job postings,,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",,,,,,Yes,N/A - Plan in place for less than 12 months,"Yes, with many but not all cohorts having a diverse population",No,In progress,No,N/A - No anti-bias performance review plan in place yet,We're still building these systems.,15,60,,Women who identify as Latina,,,,Women who identify as White/Caucasian,,,,,Difficult to calculate the % because we have grown by 300% in the last 12 months,N/A - No targets were established,No,,,,,At the secondary or tertiary education level,,,,50,We have a bootcamp to developer program that focuses on diverse young talent.,,,Compensation reviews are performed separately from performance reviews,"The organization performs a ""job leveling"" or compensation analysis at least every two years",,,No,Yes,,,,,,,None,Salary,Bonuses,,"Company perks (company cars, professional membership fees, etc)",,,1:1+ equity for men:women,,,,,,Unsure,N/A (no board compensation),,,,,,,,,,Unsure,,,With C-Suite,,,,,,With C-Suite,,With Managers,,In Progress,Goals met,10,67,,,,,,Women who identify as White/Caucasian,,,,,Fairly easy,No evaluation conducted,Yes,na,Company 1O,Technology,Fewer than 100 Employees,Fewer than 5 years,At least 80% of employees are Salaried
