,Organization,comp_weighted_score
0,Company 1X,4.124999999999999
1,Company 1W,0.0
2,Company 1V,2.0625
3,Company 1U,3.3749999999999996
4,Company 1T,5.062499999999999
5,Company 1S,1.125
6,Company 1R,3.1875
7,Company 1Q,8.0625
8,Company 1P,8.9625
9,Company 1O,5.3625
10,Company 1N,3.9375
11,Company 1M,0.0
12,Company 1L,2.2500000000000004
13,Company 1K,2.4374999999999996
14,Company 1J,2.25
15,Company 1I,5.7375
16,Company 1H,7.125000000000002
17,Company 1G,0.0
18,Company 1F,1.5
19,Company 1E,4.575
20,Company 1D,5.5875
21,Company 1C,2.625
22,Company 1B,1.3125
23,Company 1A,2.2500000000000004
