,Organization,recruit_weighted_score
0,Company 1A,5.175
1,Company 1B,3.375
2,Company 1C,1.5
3,Company 1D,2.775
4,Company 1E,5.272500000000002
5,Company 1F,3.9975
6,Company 1G,1.5
7,Company 1H,4.5225
8,Company 1I,3.3750000000000004
9,Company 1J,1.875
10,Company 1K,1.875
11,Company 1L,5.4975000000000005
12,Company 1M,0.375
13,Company 1N,0.375
14,Company 1O,5.0475
15,Company 1P,0.75
16,Company 1Q,2.4
17,Company 1R,2.2500000000000004
18,Company 1S,0.0
19,Company 1T,0.375
20,Company 1U,3.9225000000000003
21,Company 1V,3.6225000000000005
22,Company 1W,5.175
23,Company 1X,4.275
